surface,w_ace,l_ace,tot_ace
Clay,0,1,1
Clay,2,0,2
Clay,3,0,3
Clay,1,4,5
Clay,1,2,3
Clay,5,3,8
Clay,9,2,11
Clay,2,5,7
Clay,0,0,0
Clay,2,1,3
Clay,2,1,3
Clay,4,0,4
Clay,6,0,6
Clay,4,0,4
Clay,4,1,5
Clay,5,1,6
Clay,2,5,7
Clay,3,1,4
Clay,5,1,6
Clay,0,4,4
Clay,5,0,5
Clay,1,3,4
Clay,0,2,2
Clay,5,2,7
Clay,17,1,18
Clay,2,0,2
Clay,13,15,28
Clay,3,1,4
Clay,6,1,7
Clay,6,1,7
Clay,6,6,12
Clay,1,1,2
Clay,3,5,8
Clay,3,2,5
Clay,0,0,0
Clay,2,1,3
Clay,3,3,6
Clay,3,2,5
Clay,1,1,2
Clay,2,3,5
Clay,1,1,2
Clay,1,1,2
Clay,0,0,0
Clay,10,1,11
Clay,3,0,3
Clay,3,1,4
Clay,4,0,4
Clay,2,3,5
Clay,6,1,7
Clay,1,4,5
Clay,1,3,4
Clay,1,1,2
Clay,2,0,2
Clay,9,0,9
Clay,2,5,7
Clay,0,0,0
Clay,3,2,5
Clay,1,3,4
Clay,3,2,5
Clay,1,0,1
Clay,0,0,0
Clay,1,0,1
Clay,5,2,7
Clay,5,0,5
Clay,2,1,3
Clay,2,2,4
Clay,4,1,5
Clay,1,2,3
Clay,0,1,1
Clay,10,1,11
Clay,0,0,0
Clay,4,4,8
Clay,4,1,5
Clay,3,0,3
Clay,1,0,1
Clay,0,6,6
Clay,0,1,1
Clay,9,3,12
Clay,3,3,6
Clay,13,1,14
Clay,2,3,5
Clay,2,2,4
Clay,0,3,3
Clay,3,1,4
Clay,4,1,5
Clay,4,2,6
Clay,0,3,3
Clay,3,3,6
Clay,1,2,3
Clay,3,0,3
Clay,0,0,0
Clay,1,3,4
Clay,0,1,1
Clay,4,0,4
Clay,1,0,1
Clay,0,0,0
Clay,1,0,1
Clay,0,1,1
Clay,0,2,2
Clay,0,0,0
Clay,1,1,2
Clay,0,3,3
Clay,3,11,14
Clay,3,1,4
Clay,1,0,1
Clay,0,1,1
Clay,3,1,4
Clay,4,2,6
Clay,5,1,6
Clay,2,6,8
Clay,1,1,2
Clay,0,2,2
Clay,1,1,2
Clay,0,1,1
Clay,0,0,0
Clay,NA,NA,#VALUE!
Clay,1,2,3
Clay,4,0,4
Clay,0,0,0
Clay,1,0,1
Clay,1,2,3
Clay,2,1,3
Clay,3,0,3
Clay,0,0,0
Clay,1,1,2
Clay,0,7,7
Clay,1,1,2
Grass,2,0,2
Grass,0,1,1
Grass,1,2,3
Grass,1,3,4
Grass,6,4,10
Grass,0,0,0
Grass,0,0,0
Grass,5,1,6
Grass,5,1,6
Grass,5,2,7
Grass,0,4,4
Grass,1,8,9
Grass,0,5,5
Grass,3,1,4
Grass,1,1,2
Grass,5,6,11
Grass,1,5,6
Grass,2,3,5
Grass,6,1,7
Grass,5,1,6
Grass,7,3,10
Grass,3,2,5
Grass,4,2,6
Grass,4,1,5
Grass,6,2,8
Grass,1,6,7
Grass,8,4,12
Grass,4,0,4
Grass,1,3,4
Grass,0,0,0
Grass,0,0,0
Grass,4,2,6
Grass,6,9,15
Grass,3,7,10
Grass,0,1,1
Grass,2,1,3
Grass,9,1,10
Grass,3,1,4
Grass,0,6,6
Grass,2,2,4
Grass,16,1,17
Grass,5,4,9
Grass,2,2,4
Grass,2,2,4
Grass,0,3,3
Grass,1,3,4
Grass,7,4,11
Grass,0,1,1
Grass,6,1,7
Grass,6,2,8
Grass,2,3,5
Grass,5,1,6
Grass,1,0,1
Grass,1,3,4
Grass,2,4,6
Grass,4,1,5
Grass,12,5,17
Grass,5,2,7
Grass,2,1,3
Grass,3,2,5
Grass,4,1,5
Grass,6,3,9
Grass,2,12,14
Grass,2,0,2
Grass,1,0,1
Grass,1,0,1
Grass,2,10,12
Grass,2,0,2
Grass,1,1,2
Grass,4,2,6
Grass,4,6,10
Grass,5,3,8
Grass,4,3,7
Grass,5,2,7
Grass,9,5,14
Grass,0,1,1
Grass,2,0,2
Grass,4,2,6
Grass,2,0,2
Grass,5,8,13
Grass,2,2,4
Grass,1,5,6
Grass,8,0,8
Grass,2,1,3
Grass,9,2,11
Grass,2,0,2
Grass,4,2,6
Grass,4,4,8
Grass,3,4,7
Grass,4,1,5
Grass,0,6,6
Grass,6,0,6
Grass,3,5,8
Grass,3,0,3
Grass,9,0,9
Grass,7,4,11
Grass,0,1,1
Grass,1,2,3
Grass,4,2,6
Grass,0,2,2
Grass,3,2,5
Grass,1,4,5
Grass,2,4,6
Grass,3,1,4
Grass,6,1,7
Grass,4,2,6
Grass,10,6,16
Grass,11,1,12
Grass,13,3,16
Grass,2,15,17
Grass,8,7,15
Grass,8,6,14
Grass,1,0,1
Grass,2,4,6
Grass,1,5,6
Grass,0,2,2
Grass,7,2,9
Grass,6,5,11
Grass,10,0,10
Grass,5,7,12
Grass,5,1,6
Grass,2,2,4
Grass,3,1,4
Grass,7,6,13
Grass,3,3,6
Grass,5,3,8
Grass,1,4,5
Hard,1,1,2
Hard,7,2,9
Hard,2,5,7
Hard,4,2,6
Hard,6,3,9
Hard,1,1,2
Hard,1,0,1
Hard,0,9,9
Hard,5,4,9
Hard,3,5,8
Hard,4,3,7
Hard,4,2,6
Hard,6,2,8
Hard,0,2,2
Hard,2,2,4
Hard,6,5,11
Hard,0,0,0
Hard,2,1,3
Hard,8,7,15
Hard,1,0,1
Hard,2,0,2
Hard,0,1,1
Hard,4,0,4
Hard,9,0,9
Hard,17,0,17
Hard,4,4,8
Hard,1,5,6
Hard,3,5,8
Hard,4,1,5
Hard,0,0,0
Hard,7,0,7
Hard,2,1,3
Hard,7,4,11
Hard,1,2,3
Hard,4,0,4
Hard,0,0,0
Hard,2,0,2
Hard,2,1,3
Hard,2,2,4
Hard,5,6,11
Hard,6,1,7
Hard,2,4,6
Hard,4,0,4
Hard,1,6,7
Hard,1,2,3
Hard,0,10,10
Hard,0,2,2
Hard,4,0,4
Hard,8,2,10
Hard,3,2,5
Hard,2,3,5
Hard,4,5,9
Hard,2,0,2
Hard,4,0,4
Hard,4,4,8
Hard,3,5,8
Hard,5,3,8
Hard,2,2,4
Hard,2,3,5
Hard,2,2,4
Hard,7,3,10
Hard,0,1,1
Hard,2,1,3
Hard,2,8,10
Hard,2,5,7
Hard,3,0,3
Hard,13,2,15
Hard,2,6,8
Hard,8,3,11
Hard,10,2,12
Hard,0,11,11
Hard,5,5,10
Hard,2,4,6
Hard,0,2,2
Hard,2,1,3
Hard,8,0,8
Hard,8,5,13
Hard,0,1,1
Hard,2,0,2
Hard,0,5,5
Hard,8,6,14
Hard,5,5,10
Hard,5,1,6
Hard,4,6,10
Hard,8,1,9
Hard,2,2,4
Hard,4,1,5
Hard,1,1,2
Hard,4,0,4
Hard,2,5,7
