w_bpSaved,w_bpFaced,l_bpSaved,l_bpFaced,player_rank,player_bcr
3,7,4,11,1,-0.571428571
7,7,2,5,72,0
5,5,3,5,202,0
3,4,4,7,107,-0.25
7,14,7,14,25,-0.5
5,5,3,6,73,0
7,8,1,6,80,-0.125
6,10,8,15,16,-0.4
0,3,1,8,12,-1
9,12,0,3,66,-0.25
13,16,7,13,55,-0.1875
6,6,8,13,22,0
4,6,4,10,27,-0.333333333
10,17,10,18,40,-0.411764706
10,11,4,7,41,-0.090909091
8,9,3,9,7,-0.111111111
4,6,10,14,3,-0.333333333
5,7,4,9,257,-0.285714286
3,5,7,12,90,-0.4
12,15,10,14,28,-0.2
2,3,5,11,18,-0.333333333
10,18,12,19,71,-0.444444444
9,14,7,15,39,-0.357142857
8,11,1,6,15,-0.272727273
5,7,9,14,11,-0.285714286
0,0,7,13,46,#DIV/0!
6,8,1,4,451,-0.25
5,5,5,9,17,0
2,6,4,11,30,-0.666666667
1,4,4,10,50,-0.75
0,0,9,13,53,#DIV/0!
2,5,4,8,6,-0.6
3,7,9,16,67,-0.571428571
0,3,3,8,54,-1
5,6,5,10,36,-0.166666667
9,11,9,11,26,-0.181818182
3,5,5,9,98,-0.4
0,0,2,7,86,#DIV/0!
0,1,4,9,35,-1
1,3,8,12,85,-0.666666667
3,6,1,7,13,-0.5
3,6,6,11,125,-0.5
0,1,4,9,51,-1
2,5,2,8,20,-0.6
3,5,7,12,33,-0.4
3,6,6,11,97,-0.5
1,5,4,8,87,-0.8
3,6,6,11,4,-0.5
3,4,1,4,8,-0.25
2,4,3,6,91,-0.5
9,16,10,17,159,-0.4375
7,11,2,10,24,-0.363636364
8,12,4,11,112,-0.333333333
2,2,7,10,57,0
7,12,10,16,136,-0.416666667
0,0,2,7,10,#DIV/0!
1,1,4,8,14,0
7,10,5,9,65,-0.3
4,7,2,7,38,-0.428571429
1,1,4,10,23,0
5,11,5,12,34,-0.545454545
2,6,14,19,74,-0.666666667
6,7,1,4,219,-0.142857143
2,4,2,7,2,-0.5
1,2,7,12,1,-0.5
3,4,2,6,107,-0.25
7,14,12,20,25,-0.5
0,5,3,11,16,-1
3,5,2,8,12,-0.4
2,2,1,4,22,0
4,7,14,20,40,-0.428571429
4,6,5,8,7,-0.333333333
1,3,3,8,3,-0.666666667
5,8,6,11,90,-0.375
5,7,7,12,18,-0.285714286
4,6,6,11,39,-0.333333333
4,6,6,9,11,-0.333333333
0,2,1,4,451,-1
9,13,6,12,30,-0.307692308
3,5,3,7,6,-0.4
3,10,8,17,54,-0.7
1,3,2,7,26,-0.666666667
0,2,3,8,98,-1
1,2,2,8,85,-0.5
4,5,4,9,13,-0.2
0,1,8,11,20,-1
4,5,6,12,33,-0.2
3,5,6,10,4,-0.4
0,1,6,11,8,-1
5,7,4,9,24,-0.285714286
7,7,9,13,57,0
0,0,4,8,10,#DIV/0!
5,7,9,14,14,-0.285714286
2,5,2,7,38,-0.6
25,27,8,13,74,-0.074074074
0,0,2,7,2,#DIV/0!
0,2,5,11,1,-1
0,1,7,12,16,-1
4,8,7,11,12,-0.5
0,1,7,12,7,-1
0,1,3,9,3,-1
1,3,1,6,39,-0.666666667
0,1,8,11,451,-1
1,2,5,10,30,-0.5
1,2,3,7,26,-0.5
4,10,7,12,98,-0.6
3,5,4,8,13,-0.4
5,7,5,10,33,-0.285714286
5,10,8,13,24,-0.5
3,8,11,19,10,-0.625
2,9,10,19,14,-0.777777778
4,5,2,7,2,-0.2
1,2,3,9,1,-0.5
0,1,6,11,12,-1
0,0,0,1,3,#DIV/0!
NA,NA,NA,NA,30,#VALUE!
0,2,4,9,98,-1
0,1,0,4,13,-1
0,0,2,7,10,#DIV/0!
4,7,6,10,14,-0.428571429
8,12,9,17,1,-0.333333333
0,1,6,12,3,-1
0,1,2,4,13,-1
0,1,2,7,10,-1
